,state,customer_lifetime_value,response,coverage,effective_to_date,employmentstatus,gender,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy_type,policy,renew_offer_type,sales_channel,total_claim_amount,vehicle_class,vehicle_size
81,Washington,2541.0,No,Basic,2011-02-28,Employed,M,42557,Rural,Single,65,4.0,35,0.0,1,Personal Auto,Personal,Offer4,Agent,58.0,Four-Door Car,Large
83,Oregon,3756.0,No,Extended,2011-01-04,Employed,F,56178,Suburban,Married,94,1.0,39,0.0,1,Personal Auto,Personal,Offer2,Branch,451.0,Four-Door Car,Medsize
85,Oregon,32475.0,No,Basic,2011-01-22,Employed,M,71449,Suburban,Divorced,102,17.0,7,0.0,2,Personal Auto,Personal,Offer4,Call Center,734.0,Four-Door Car,Small
91,California,7048.0,No,Basic,2011-02-19,Medical Leave,M,24030,Suburban,Single,194,14.0,0,0.0,1,Personal Auto,Personal,Offer1,Agent,971.0,Luxury Car,Medsize
92,Arizona,26770.0,No,Basic,2011-01-23,Employed,F,26335,Urban,Married,113,32.0,7,1.0,2,Personal Auto,Personal,Offer1,Call Center,356.0,Four-Door Car,Large
93,Nevada,9549.0,No,Basic,2011-02-09,Employed,F,55986,Urban,Married,119,3.0,60,0.0,3,Personal Auto,Personal,Offer1,Agent,389.0,Four-Door Car,Small
94,Washington,4331.0,No,Basic,2011-02-11,Employed,F,82302,Suburban,Married,106,11.0,92,0.0,1,Personal Auto,Personal,Offer1,Branch,722.0,Four-Door Car,Medsize
96,Oregon,3289.0,No,Extended,2011-01-29,Employed,M,40097,Rural,Single,92,23.0,35,4.0,1,Personal Auto,Personal,Offer1,Call Center,227.0,Two-Door Car,Medsize
98,Arizona,3418.0,No,Extended,2011-01-25,Employed,F,72460,Urban,Married,85,9.0,76,0.0,1,Personal Auto,Personal,Offer2,Call Center,370.0,Four-Door Car,Medsize
101,California,4701.0,No,Basic,2011-02-18,Employed,F,76694,Suburban,Married,117,34.0,23,0.0,1,Personal Auto,Personal,Offer4,Agent,562.0,Four-Door Car,Medsize
102,Arizona,2472.0,Yes,Basic,2011-01-15,Employed,M,95697,Rural,Married,61,16.0,55,0.0,1,Personal Auto,Personal,Offer2,Agent,114.0,Two-Door Car,Medsize
103,Arizona,10131.0,No,Extended,2011-01-17,Employed,F,59232,Suburban,Divorced,85,6.0,75,0.0,2,Corporate Auto,Corporate,Offer3,Branch,408.0,Two-Door Car,Medsize
104,California,3419.0,No,Extended,2011-02-13,Employed,M,40272,Rural,Married,86,8.0,64,0.0,1,Personal Auto,Personal,Offer3,Agent,23.0,Two-Door Car,Medsize
107,Arizona,3179.0,No,Extended,2011-01-21,Employed,F,65742,Urban,Married,79,6.0,0,0.0,1,Personal Auto,Personal,Offer2,Call Center,277.0,Four-Door Car,Medsize
109,California,16408.0,No,Premium,2011-01-12,Employed,M,22103,Rural,Single,109,16.0,31,0.0,2,Personal Auto,Personal,Offer1,Agent,160.0,Four-Door Car,Large
110,Arizona,9372.0,No,Basic,2011-02-01,Employed,F,66325,Urban,Married,117,10.0,10,0.0,3,Corporate Auto,Corporate,Offer1,Agent,498.0,Four-Door Car,Medsize
112,California,5800.0,No,Basic,2011-01-03,Employed,M,60689,Rural,Single,74,29.0,67,0.0,3,Corporate Auto,Corporate,Offer2,Branch,6.0,Four-Door Car,Medsize
113,Oregon,5097.0,Yes,Basic,2011-01-28,Disabled,F,22886,Suburban,Divorced,65,9.0,81,0.0,3,Corporate Auto,Corporate,Offer1,Agent,312.0,Four-Door Car,Small
115,Washington,7476.0,No,Basic,2011-01-26,Disabled,F,29633,Urban,Married,196,26.0,57,0.0,1,Corporate Auto,Corporate,Offer1,Agent,535.0,Luxury Car,Medsize
116,Oregon,9987.0,No,Extended,2011-01-22,Disabled,M,24067,Suburban,Single,132,12.0,2,0.0,3,Corporate Auto,Corporate,Offer2,Branch,634.0,Sports Car,Medsize
117,California,5569.0,No,Extended,2011-02-21,Employed,F,51489,Rural,Married,139,14.0,10,0.0,1,Personal Auto,Personal,Offer1,Web,237.0,Four-Door Car,Medsize
120,California,4014.0,No,Extended,2011-02-17,Employed,F,54054,Rural,Married,99,7.0,55,0.0,1,Personal Auto,Personal,Offer2,Branch,6.0,Four-Door Car,Medsize
122,California,15114.0,Yes,Basic,2011-01-19,Medical Leave,F,28513,Suburban,Married,100,4.0,22,1.0,2,Corporate Auto,Corporate,Offer2,Call Center,480.0,Four-Door Car,Medsize
124,Oregon,2453.0,No,Basic,2011-02-14,Employed,M,79898,Urban,Married,62,5.0,86,1.0,1,Corporate Auto,Corporate,Offer4,Agent,272.0,Four-Door Car,Medsize
125,California,3919.0,Yes,Extended,2011-01-05,Employed,F,66676,Suburban,Married,97,0.0,40,0.0,1,Personal Auto,Personal,Offer3,Agent,558.0,Four-Door Car,Small
127,Oregon,12333.0,No,Basic,2011-02-28,Employed,M,85789,Rural,Married,105,18.0,54,2.0,2,Personal Auto,Personal,Offer1,Agent,122.0,Sports Car,Medsize
128,California,35863.0,No,Extended,2011-02-26,Medical Leave,M,26376,Suburban,Divorced,121,7.0,19,0.0,2,Personal Auto,Personal,Offer1,Agent,581.0,Four-Door Car,Small
129,Oregon,2398.0,No,Basic,2011-02-14,Disabled,M,14321,Suburban,Single,65,20.0,72,0.0,1,Personal Auto,Personal,Offer1,Branch,424.0,Four-Door Car,Medsize
130,California,6006.0,Yes,Extended,2011-02-23,Retired,M,13528,Suburban,Single,86,21.0,35,0.0,3,Personal Auto,Personal,Offer1,Agent,413.0,Four-Door Car,Medsize
132,California,8014.0,No,Basic,2011-01-17,Employed,M,65636,Suburban,Married,67,15.0,72,0.0,2,Personal Auto,Personal,Offer2,Call Center,322.0,Four-Door Car,Medsize
134,Arizona,4835.0,Yes,Basic,2011-01-31,Employed,F,38713,Suburban,Divorced,66,31.0,69,4.0,3,Corporate Auto,Corporate,Offer2,Call Center,317.0,Four-Door Car,Medsize
136,Arizona,5525.0,No,Basic,2011-02-01,Employed,F,64816,Suburban,Married,69,30.0,33,0.0,3,Corporate Auto,Corporate,Offer3,Agent,331.0,Four-Door Car,Small
139,Washington,5553.0,No,Basic,2011-02-27,Employed,M,50470,Suburban,Divorced,71,1.0,87,0.0,3,Corporate Auto,Corporate,Offer4,Call Center,377.0,Two-Door Car,Large
140,Nevada,3842.0,No,Premium,2011-01-19,Disabled,M,27906,Suburban,Divorced,102,5.0,57,0.0,1,Personal Auto,Personal,Offer2,Call Center,490.0,Four-Door Car,Medsize
141,California,5093.0,No,Basic,2011-01-06,Employed,F,91814,Urban,Married,63,30.0,99,0.0,3,Personal Auto,Personal,Offer3,Call Center,167.0,Two-Door Car,Medsize
142,Oregon,16794.0,No,Basic,2011-02-24,Employed,F,38399,Urban,Married,106,12.0,6,0.0,2,Personal Auto,Personal,Offer2,Web,369.0,Four-Door Car,Medsize
143,Oregon,24278.0,No,Extended,2011-02-26,Retired,F,20983,Urban,Single,97,10.0,52,1.0,2,Personal Auto,Personal,Offer1,Branch,452.0,Four-Door Car,Medsize
144,California,7463.0,Yes,Extended,2011-01-28,Employed,F,70263,Rural,Married,93,30.0,66,0.0,3,Personal Auto,Personal,Offer2,Call Center,7.0,Two-Door Car,Small
146,Oregon,2891.0,No,Basic,2011-02-02,Employed,F,80590,Rural,Married,71,4.0,19,0.0,1,Corporate Auto,Corporate,Offer4,Branch,134.0,Four-Door Car,Small
147,Washington,11982.0,Yes,Basic,2011-01-20,Retired,F,21514,Urban,Married,62,0.0,59,0.0,2,Personal Auto,Personal,Offer1,Agent,257.0,Two-Door Car,Medsize
149,Oregon,4283.0,Yes,Basic,2011-02-26,Employed,F,40864,Rural,Married,109,16.0,70,1.0,1,Personal Auto,Personal,Offer1,Agent,167.0,Four-Door Car,Medsize
150,Arizona,5381.0,Yes,Basic,2011-02-24,Employed,F,55350,Suburban,Married,67,0.0,13,0.0,3,Personal Auto,Personal,Offer1,Agent,322.0,Four-Door Car,Medsize
151,Oregon,5828.0,No,Basic,2011-02-16,Employed,F,31364,Suburban,Married,74,28.0,47,0.0,3,Personal Auto,Personal,Offer2,Web,461.0,Four-Door Car,Small
152,California,5048.0,No,Extended,2011-02-17,Employed,F,34452,Suburban,Married,126,2.0,51,0.0,1,Personal Auto,Personal,Offer4,Agent,605.0,Four-Door Car,Large
153,Oregon,7737.0,No,Basic,2011-01-19,Employed,F,50296,Rural,Married,65,26.0,62,1.0,2,Personal Auto,Personal,Offer1,Call Center,47.0,Two-Door Car,Medsize
154,California,7950.0,No,Basic,2011-01-21,Employed,M,26189,Suburban,Single,69,6.0,42,0.0,2,Personal Auto,Personal,Offer3,Agent,331.0,Four-Door Car,Small
157,Arizona,4873.0,No,Extended,2011-01-05,Retired,F,18866,Suburban,Married,126,4.0,62,0.0,1,Personal Auto,Personal,Offer3,Call Center,605.0,Four-Door Car,Medsize
159,Oregon,4957.0,No,Basic,2011-01-15,Employed,F,62803,Suburban,Married,62,16.0,12,0.0,3,Personal Auto,Personal,Offer2,Web,401.0,Two-Door Car,Small
160,Oregon,2656.0,No,Basic,2011-01-04,Employed,F,83460,Suburban,Divorced,66,20.0,18,0.0,1,Corporate Auto,Corporate,Offer2,Call Center,443.0,Four-Door Car,Medsize
161,Washington,5899.0,No,Extended,2011-02-17,Employed,F,53998,Suburban,Divorced,78,5.0,38,5.0,3,Personal Auto,Personal,Offer1,Call Center,415.0,Four-Door Car,Medsize
162,California,17724.0,No,Extended,2011-02-18,Employed,F,25771,Suburban,Married,222,21.0,58,0.0,3,Personal Auto,Personal,Offer1,Branch,1254.0,Luxury Car,Medsize
164,California,4518.0,No,Basic,2011-02-09,Medical Leave,F,25261,Suburban,Married,118,31.0,9,0.0,1,Personal Auto,Personal,Offer4,Branch,566.0,Four-Door Car,Medsize
166,Nevada,2773.0,No,Basic,2011-01-26,Employed,F,73478,Urban,Married,68,2.0,38,0.0,1,Personal Auto,Personal,Offer2,Call Center,242.0,Four-Door Car,Medsize
170,Oregon,8489.0,No,Basic,2011-01-04,Employed,F,80213,Suburban,Married,70,12.0,17,0.0,2,Personal Auto,Personal,Offer1,Branch,440.0,Two-Door Car,Medsize
171,Washington,2472.0,Yes,Basic,2011-01-15,Employed,M,95697,Rural,Married,61,16.0,55,0.0,1,Personal Auto,Personal,Offer2,Agent,114.0,Two-Door Car,Medsize
174,Oregon,3982.0,No,Extended,2011-01-03,Employed,F,38500,Urban,Married,99,26.0,49,1.0,1,Corporate Auto,Corporate,Offer1,Agent,423.0,Four-Door Car,Large
175,California,8237.0,No,Basic,2011-01-17,Medical Leave,F,23940,Suburban,Married,107,13.0,34,0.0,3,Personal Auto,Personal,Offer1,Call Center,514.0,Four-Door Car,Small
179,California,5583.0,No,Basic,2011-02-22,Employed,F,57925,Urban,Single,72,33.0,13,1.0,3,Corporate Auto,Corporate,Offer1,Agent,205.0,Two-Door Car,Medsize
180,California,7357.0,No,Extended,2011-01-09,Employed,M,81145,Urban,Married,92,34.0,92,0.0,3,Corporate Auto,Corporate,Offer2,Call Center,321.0,Two-Door Car,Large
181,California,10144.0,No,Extended,2011-01-29,Medical Leave,F,27231,Suburban,Married,88,0.0,7,0.0,2,Personal Auto,Personal,Offer1,Branch,422.0,Four-Door Car,Medsize
182,Oregon,8672.0,No,Basic,2011-01-26,Employed,F,22547,Suburban,Divorced,112,7.0,60,0.0,3,Corporate Auto,Corporate,Offer1,Agent,538.0,Four-Door Car,Medsize
183,California,2675.0,Yes,Basic,2011-02-15,Employed,M,56342,Suburban,Single,69,12.0,89,0.0,1,Special Auto,Special,Offer2,Call Center,331.0,Four-Door Car,Small
184,California,34611.0,Yes,Basic,2011-01-14,Employed,F,20090,Suburban,Married,109,10.0,59,0.0,2,Special Auto,Special,Offer2,Agent,523.0,Sports Car,Medsize
185,California,8071.0,No,Basic,2011-02-07,Employed,M,72149,Rural,Married,101,18.0,43,0.0,3,Personal Auto,Personal,Offer2,Call Center,69.0,Four-Door Car,Medsize
187,California,7256.0,No,Extended,2011-01-05,Medical Leave,M,10710,Suburban,Married,94,12.0,33,0.0,3,Personal Auto,Personal,Offer1,Branch,451.0,Two-Door Car,Small
188,Arizona,14511.0,No,Basic,2011-01-25,Employed,M,60120,Urban,Married,182,30.0,21,0.0,3,Personal Auto,Personal,Offer2,Branch,716.0,Luxury Car,Medsize
189,California,11009.0,Yes,Premium,2011-01-24,Employed,F,51643,Suburban,Single,283,16.0,43,0.0,1,Corporate Auto,Corporate,Offer2,Agent,1358.0,Luxury Car,Medsize
191,Arizona,4633.0,No,Basic,2011-01-15,Medical Leave,M,27132,Suburban,Single,63,32.0,59,1.0,3,Personal Auto,Personal,Offer1,Branch,302.0,Four-Door Car,Medsize
192,California,5273.0,No,Basic,2011-02-18,Employed,M,85607,Rural,Single,66,26.0,1,0.0,3,Personal Auto,Personal,Offer2,Agent,68.0,Four-Door Car,Medsize
194,California,5489.0,No,Basic,2011-02-17,Employed,F,33881,Rural,Married,68,11.0,83,0.0,3,Personal Auto,Personal,Offer2,Web,66.0,Four-Door Car,Large
195,California,14228.0,No,Extended,2011-01-16,Employed,M,31650,Suburban,Married,121,25.0,17,0.0,2,Personal Auto,Personal,Offer1,Branch,581.0,Four-Door Car,Medsize
197,Arizona,2673.0,No,Basic,2011-02-13,Employed,M,28728,Suburban,Married,67,8.0,10,0.0,1,Personal Auto,Personal,Offer4,Branch,322.0,Four-Door Car,Small
198,Oregon,5332.0,Yes,Basic,2011-02-22,Employed,F,68931,Urban,Married,66,32.0,30,0.0,3,Corporate Auto,Corporate,Offer2,Branch,310.0,Four-Door Car,Medsize
199,Arizona,10065.0,No,Extended,2011-02-03,Employed,F,20440,Suburban,Married,128,11.0,54,2.0,3,Corporate Auto,Corporate,Offer3,Branch,614.0,Sports Car,Medsize
202,Oregon,3514.0,No,Extended,2011-02-23,Employed,F,73643,Rural,Single,89,2.0,2,0.0,1,Corporate Auto,Corporate,Offer2,Agent,147.0,Four-Door Car,Medsize
206,Nevada,46805.0,No,Extended,2011-02-25,Employed,M,83006,Urban,Married,235,8.0,61,1.0,2,Personal Auto,Personal,Offer3,Agent,1065.0,Luxury Car,Small
207,Washington,2667.0,No,Basic,2011-02-08,Employed,F,79251,Suburban,Married,67,10.0,32,1.0,1,Personal Auto,Personal,Offer2,Web,322.0,Four-Door Car,Medsize
209,California,5823.0,No,Basic,2011-01-31,Employed,F,88359,Rural,Divorced,73,1.0,49,0.0,3,Personal Auto,Personal,Offer2,Call Center,36.0,Two-Door Car,Medsize
210,California,9536.0,No,Extended,2011-01-07,Employed,F,62421,Suburban,Divorced,80,22.0,50,2.0,2,Corporate Auto,Corporate,Offer1,Call Center,384.0,Four-Door Car,Medsize
212,California,3484.0,No,Extended,2011-01-10,Employed,M,34307,Rural,Divorced,92,33.0,62,2.0,1,Personal Auto,Personal,Offer1,Call Center,186.0,Four-Door Car,Medsize
214,Washington,7995.0,No,Basic,2011-01-02,Employed,F,66685,Rural,Married,67,35.0,50,2.0,2,Personal Auto,Personal,Offer2,Call Center,39.0,Two-Door Car,Large
215,Arizona,11612.0,No,Extended,2011-02-11,Employed,M,28915,Suburban,Single,76,10.0,49,0.0,2,Personal Auto,Personal,Offer4,Web,365.0,Four-Door Car,Medsize
218,Arizona,8448.0,No,Basic,2011-02-18,Employed,F,61337,Rural,Married,105,35.0,46,0.0,3,Personal Auto,Personal,Offer1,Call Center,3.0,Four-Door Car,Medsize
219,Arizona,2927.0,No,Basic,2011-02-14,Employed,F,75685,Suburban,Married,73,35.0,47,0.0,1,Personal Auto,Personal,Offer2,Agent,370.0,Four-Door Car,Small
223,California,2845.0,No,Basic,2011-02-06,Employed,M,80306,Suburban,Divorced,71,11.0,12,0.0,1,Corporate Auto,Corporate,Offer3,Call Center,341.0,Two-Door Car,Medsize
227,Washington,4434.0,No,Premium,2011-01-13,Employed,M,34549,Rural,Married,111,8.0,78,0.0,1,Personal Auto,Personal,Offer2,Web,126.0,Four-Door Car,Medsize
229,Washington,7031.0,No,Extended,2011-01-24,Retired,M,16224,Suburban,Married,93,13.0,55,0.0,3,Corporate Auto,Corporate,Offer3,Web,498.0,Four-Door Car,Medsize
230,California,2449.0,No,Basic,2011-02-04,Employed,M,47122,Suburban,Single,62,6.0,77,0.0,1,Personal Auto,Personal,Offer2,Branch,298.0,Two-Door Car,Medsize
232,California,9095.0,Yes,Basic,2011-01-11,Employed,M,37937,Suburban,Married,116,11.0,42,0.0,3,Personal Auto,Personal,Offer2,Call Center,557.0,Four-Door Car,Medsize
234,Oregon,15033.0,No,Basic,2011-01-17,Medical Leave,M,17150,Suburban,Married,65,28.0,19,0.0,2,Personal Auto,Personal,Offer1,Agent,690.0,Two-Door Car,Medsize
235,Arizona,8256.0,Yes,Basic,2011-01-25,Employed,F,62902,Rural,Married,69,14.0,94,0.0,2,Personal Auto,Personal,Offer2,Web,159.0,Two-Door Car,Medsize
236,Oregon,11009.0,Yes,Premium,2011-01-24,Employed,F,51643,Suburban,Single,283,16.0,43,0.0,1,Special Auto,Special,Offer2,Agent,1358.0,Luxury Car,Medsize
237,California,5319.0,Yes,Basic,2011-01-12,Employed,F,25134,Suburban,Married,67,3.0,0,0.0,3,Personal Auto,Personal,Offer2,Call Center,322.0,Four-Door Car,Small
239,California,33473.0,Yes,Basic,2011-01-11,Employed,F,33190,Suburban,Divorced,106,18.0,95,0.0,2,Personal Auto,Personal,Offer1,Web,509.0,Four-Door Car,Medsize
240,Oregon,4551.0,No,Premium,2011-02-08,Disabled,F,17913,Suburban,Married,116,0.0,39,0.0,1,Personal Auto,Personal,Offer3,Web,557.0,Four-Door Car,Small
